Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2021 00:00,314.48,703.49,227.85,14.46,237.82,228.84,5.51,4.76,3.75,18.4,32.98,2.35,NA,3.5,4.16,9.92,84.67,2.73,259.22,0,0,NA,NA,NA
02-01-2021 00:00,184.34,480.95,27.57,73.51,60.54,68.76,11.39,2.92,11.01,7.29,14.42,0.98,NA,1.43,1.93,15.1,59.04,1.47,209.63,0,0,NA,NA,NA
03-01-2021 00:00,75.51,187.91,14.72,54.67,40.48,53.02,3.86,1.48,7.55,4.32,11.66,0.62,NA,0.79,1.27,15.48,80.09,2.23,217.91,0.3,27.8,NA,NA,NA
04-01-2021 00:00,79.99,196.76,18.75,34.13,47.61,58.33,2.78,1.53,8.37,4.55,15.31,2.08,NA,2.15,1.84,17.4,83.23,2.42,264.61,0.04,3.4,NA,NA,NA
05-01-2021 00:00,69.99,291.96,19.41,31.5,32.61,50.4,5.89,2.08,5.41,3.45,10.8,1.44,NA,1.24,1.06,18.12,82.14,2.2,242.11,0.01,1,NA,NA,NA
06-01-2021 00:00,98.48,387.81,46.08,24.06,49.38,66.22,2.73,1.88,5.61,4.29,15.66,1.6,NA,1.51,1.15,17.82,83.41,2.08,241.34,0.1,9.4,NA,NA,NA
07-01-2021 00:00,97.31,272,9.09,13.51,22.41,42.19,2.93,0.74,8.24,2.41,9.98,0.97,NA,0.87,0.77,16.17,80.98,1.83,277.35,0,0,NA,NA,NA
08-01-2021 00:00,142.68,336.18,15.6,30.41,28.4,46.55,7.74,0.94,18.95,2.72,7.75,1.05,NA,1.07,0.88,14.14,81.15,1.92,265.43,0,0,NA,NA,NA
09-01-2021 00:00,108.35,313.84,12.49,17.42,29.91,44.97,3.52,0.74,11.17,2.97,7.35,1.12,NA,1.02,0.87,15.79,76.65,1.74,280.24,0,0,NA,NA,NA
10-01-2021 00:00,94.35,292.1,6.92,14.71,21.64,39.7,3.26,0.45,19.84,1.83,4.43,0.53,NA,0.37,0.46,12.53,72.46,1.58,277.71,0,0,NA,NA,NA
