Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2024,219.62,336.36,7.93,23.94,31.8,50.79,2.08,1.02,7.17,0.23,0.8,,,,,12.68,77.15,0.69,272.99,0,0,58.92,987.98,
02-01-2024,209.98,312.71,14.77,24.43,38.9,48.36,2.91,0.92,8.85,0.2,0.79,,,,,12.08,75.58,0.65,256.04,0,0,63.27,987.31,
03-01-2024,234.08,342.32,14.95,32.32,37.93,52.83,2.1,1.26,13.01,0.51,2.13,,,,,12.05,82.45,0.72,226.71,0,0,60.03,987.22,
04-01-2024,234.11,345.63,28.85,25.35,36.95,46.18,7.29,1.33,9.3,0.74,3.67,,,,,11.56,86.89,0.96,262.21,0,0,43.32,987.56,
05-01-2024,162.72,242.64,18.97,29.65,31.2,49.83,7.16,1.13,12.86,0.61,2.58,,,,,12.75,87.46,0.95,258.84,0,0,44.31,987.42,
06-01-2024,178.95,262.11,17.05,40.32,35.3,52.9,6.86,1.15,20.56,0.63,3.17,,,,,12.53,79.77,0.9,239.08,0,0,57.45,989.08,
07-01-2024,161.44,258.42,22.92,39.12,39.41,51.07,4.36,0.93,24.26,0.55,2.1,,,,,12.48,77.45,0.87,228.51,0,0,64.06,989.71,
08-01-2024,266.55,450.02,50.73,54.35,70.16,52.38,9.39,1.78,13.57,0.96,4.1,,,,,11.99,86.26,0.79,239.05,0,0,55.19,989.61,
09-01-2024,148.79,241.55,9.99,29.61,23.94,48.88,4.9,0.92,15.52,0.56,2.79,,,,,12.07,86.06,1.11,255.5,0,0,48.28,989.69,
10-01-2024,171.64,273.89,22.6,30.31,34.44,53.25,4.7,1.08,15.39,0.52,1.7,,,,,11.32,83.45,1.22,263.77,0,0,60.45,988.08,
11-01-2024,211.43,319.41,31.56,41.45,47.76,52.6,5.42,2.15,24.57,0.74,2.72,,,,,11.73,82.19,1.02,259.58,0,0,62.06,988.54,
12-01-2024,223.15,316.2,48.06,46.76,63.01,53.32,5.33,2.29,24.58,1.04,4.49,,,,,11.33,82.79,0.93,231.86,0,0,58.56,987.57,
13-01-2024,457.21,609.58,92.85,88.72,122.56,73.47,8.72,3.88,28.88,1.96,8.17,,,,,12.28,81.65,0.84,166.84,0,0,63.72,986.82,
14-01-2024,441.54,605.83,108.63,57.88,118.86,66.16,4.78,3.95,24.88,2.09,8.45,,,,,11.52,84.33,0.81,219.88,0,0,57.41,986.86,
15-01-2024,214.22,327.48,70.3,40.38,78.54,41.41,2.93,2.43,17.61,1.17,5.1,,,,,11.42,80,0.88,219.77,0,0,60.79,986.44,
16-01-2024,270.1,358.23,44.21,24.69,48.9,37.68,2.09,2.16,16.25,1.3,5.05,,,,,11.83,82.99,1.27,132.33,0,0,63.04,984.77,
17-01-2024,247.45,377.23,11.41,25.23,22.58,25.7,8.75,1.54,18.12,0.81,2.55,,,,,12.13,76.35,1.2,155.46,0,0,65.69,984.75,
18-01-2024,174.76,265.46,16.91,17.99,23.19,19.49,6.17,1.44,11.44,0.76,2.42,,,,,12.01,81.67,1.04,187.97,0,0,59.58,986.69,
19-01-2024,183.07,264.91,17.22,8.71,17.83,17.25,5.76,1.47,8.84,0.79,2.99,,,,,11.73,83.57,1.22,163.29,0,0,58.78,988.34,
20-01-2024,202.08,316.88,10.57,12.69,14.81,15.45,5.95,1.23,14.91,0.59,1.65,,,,,12.37,77.79,0.98,211.27,0,0,64.51,988.51,
21-01-2024,165.09,235.48,10.65,4.57,10.08,13.64,5.53,1.25,11.6,0.69,1.8,,,,,10.95,86.54,1.09,259.09,0,0,48.17,987.95,
22-01-2024,213.57,338.39,8.8,10.89,11.49,12.74,5.76,1.16,16.69,0.6,1.9,,,,,11.83,78.24,1.09,187.79,0,0,64.53,989.06,
23-01-2024,236.32,358.67,7.48,10.26,10.65,13.35,7.37,1.69,20.2,0.93,3.58,,,,,12.67,80.82,1.07,197.36,0,0,61.44,987.93,
24-01-2024,301.91,450.73,15.62,9.71,16.44,13.68,6.84,2.3,10.7,1.34,5.49,,,,,12.3,82.28,0.83,230.12,0,0,51.34,987.98,
25-01-2024,213.83,329.09,24.22,23.5,25.74,29.11,4.78,2.3,10.55,1.14,5.27,,,,,11.89,82.51,0.83,225.15,0,0,61.01,990.03,
26-01-2024,307.46,496.45,53.17,19.41,53.77,37.12,4.01,3.81,19.21,1.89,9.03,,,,,12.8,75.65,0.72,224.59,0,0,56.35,990.58,
27-01-2024,228.91,427.22,38.64,15.52,39.68,31.05,7.52,2.66,15.29,1.22,4.98,,,,,13.56,71.16,1,236.16,0,0,52.85,988.81,
28-01-2024,283.41,431.44,41.93,14.69,41.9,28.4,7.22,2.34,8.31,1.25,5.83,,,,,13.38,76.19,1.09,156.98,0,0,57.39,987.58,
29-01-2024,205.51,346.49,13.15,14.31,18.3,26.21,5.1,1.79,12.19,0.85,2.71,,,,,14.08,79.6,1.04,202.23,0,0,56.57,987.36,
30-01-2024,238.27,352.06,19.01,11.22,21.43,25.16,7.11,2.11,6.92,1.21,5.38,,,,,13.23,87.08,0.82,250.55,0,0,51.45,986.64,
31-01-2024,273.41,345.15,32.44,11.33,32.4,24.43,5.53,3.03,4.03,1.79,9.6,,,,,13.27,90.8,1.05,178.19,0,0,41.57,985.74,
