Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2020 00:00,392.31,450.67,84.61,43.83,92.1,27.11,11.47,4.24,10.33,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02-01-2020 00:00,458.86,497.51,91.25,50.6,101.1,34.24,12,4.51,11.47,5.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03-01-2020 00:00,198.92,219.98,93.91,64.44,110.62,19.99,7.22,3.17,10.74,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04-01-2020 00:00,224.26,255.98,83.32,65.87,102.78,18.48,5.9,2.93,16.1,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05-01-2020 00:00,149.03,172.24,36.83,44.97,53.86,10.13,5.39,1.3,20.47,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06-01-2020 00:00,139.48,171.82,40.16,48.19,58.28,11.1,5.97,1.43,10.15,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07-01-2020 00:00,121.84,151.75,55.46,51.22,72.33,13.33,6.19,1.75,7.39,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08-01-2020 00:00,115.04,128.55,42.94,41.07,56.76,11.26,3.39,1.37,7.38,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09-01-2020 00:00,83.37,101.56,28.58,33.91,41.27,8.44,4.65,0.92,14.23,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-01-2020 00:00,116.21,149.62,34.47,28.62,43.25,20.56,11.69,1.42,21.61,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-01-2020 00:00,136.53,181.94,53.19,21.14,54.48,40.24,18.89,1.98,21.66,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-01-2020 00:00,205.76,270.19,85.1,18.94,78.94,55.86,17.89,2.92,20.95,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-01-2020 00:00,231.99,298.67,89.31,22.29,84.24,56.28,15.1,2.88,7.21,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-01-2020 00:00,142.37,172.03,40.91,17.74,42.63,29.28,11.43,1.21,9.21,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-01-2020 00:00,124.64,159.43,42.23,21.64,45.78,30.65,14.46,1.23,10.71,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-01-2020 00:00,132.67,160.13,47.53,19.24,48.75,32.29,13.13,1.34,4.2,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-01-2020 00:00,97.65,123.37,46.52,16.85,46.74,30.75,9.73,1.38,7.44,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-01-2020 00:00,127.97,172.36,52.47,19.52,52.92,34.56,10.74,1.57,11.06,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-01-2020 00:00,119.67,152.44,31.18,15.97,33.81,23.33,7.48,1.06,17.73,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-01-2020 00:00,145.41,196.61,46.95,15.99,46.58,29.84,9.06,1.77,13.24,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-01-2020 00:00,191.91,266.73,82.24,17.91,75.55,48.47,14.05,2.6,7.37,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-01-2020 00:00,213.27,283.7,58.7,20.37,58.43,40.04,12.08,2.18,9.06,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-01-2020 00:00,72.43,108.63,33.88,18.43,37.34,25.35,10.33,0.85,22.81,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24-01-2020 00:00,92.35,132.84,41.65,20.24,44.6,28.94,14.59,1.12,24.93,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-01-2020 00:00,137.99,196.07,68.1,23.84,68.02,42.58,16.01,1.95,17.69,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-01-2020 00:00,162.27,228.25,94.32,17.18,85.75,53.92,17.28,2.68,17.56,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27-01-2020 00:00,173.18,261.59,101.03,27.14,96.44,60.75,23.87,3.01,7.32,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
