Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2024,218.04,312.56,0.86,66.53,36.08,27.39,18.71,1.31,8.09,,,,,,,13.81,74.04,0.65,163.88,,0,32.93,,0.02
02-01-2024,199.46,281.16,0.82,66.92,36.25,25.09,11.93,1.43,9.42,,,,,,,13.66,71.19,0.62,160.47,,0,45.97,,0.01
03-01-2024,236.59,326.28,13.72,66.65,46.47,30.11,4.92,1.61,10.51,,,,,,,13.53,82.88,0.5,162.42,,0,25.52,,0.01
04-01-2024,250.55,342.07,32.24,61.89,59.13,29.32,5.96,1.04,9.21,,,,,,,13.68,84.51,0.65,192.27,,0,14.42,,0
05-01-2024,196.11,297.15,33.75,61.89,60.36,29.08,2.32,1.43,9.07,,,,,,,14.24,87.58,0.42,193.43,,0,11.96,,0.01
06-01-2024,200.85,288.5,28.56,66.54,58.61,27.89,2.11,1.5,8.67,,,,,,,12.89,79.39,0.47,170.88,,0,23.49,,0.02
07-01-2024,208.32,296.27,23.36,71.64,57.1,27.12,3.72,0.88,8.39,,,,,,,12.96,73.82,0.59,189.08,,0,41.97,,0
08-01-2024,280.01,424.48,26.53,68.93,58.24,29.57,3.47,1.3,9.82,,,,,,,12.26,81.68,0.45,188.82,,0,28.04,,0
09-01-2024,144.8,212.67,22.13,64.43,52.27,26.48,1.64,0.89,8.08,,,,,,,12.06,84.35,0.38,179.59,,0,17.71,,0.02
10-01-2024,189.07,275.6,19.67,62.89,49.44,25.38,2.59,1.33,8.32,,,,,,,11.53,79.98,0.92,181.99,,0,32.85,,0.02
11-01-2024,226.42,321.62,20.45,71.48,54.64,26.08,7.01,1.36,8.71,,,,,,,12.12,77.62,0.79,183.89,,0,48.52,,0.01
12-01-2024,222.24,302.41,30.64,73.25,63.86,26.74,4.62,1.51,8.87,,,,,,,11.97,78.29,0.52,188.49,,0,50.58,,-0.01
13-01-2024,460.61,617.32,50.99,86.86,87.66,30.16,6.17,1.61,9.5,,,,,,,12.12,80.96,0.31,182.88,,0,33.17,,-0.01
14-01-2024,399.5,462.02,72.22,79.42,100.96,30.87,6.87,1.8,9.28,,,,,,,12.21,79.7,0.5,188.31,,0,48.91,,0
15-01-2024,209.4,284.33,39.75,74.84,72.12,26.65,5.8,0.69,8.78,,,,,,,12.12,76,0.55,187.51,,0,54.7,,0
16-01-2024,281.83,367.06,56.02,75.89,85.9,28.31,8.2,0.75,8.64,,,,,,,12.28,79.82,0.45,171.83,,0,44.5,,0
17-01-2024,239.34,330.32,27.81,78.31,64.27,26.02,2.71,1.37,8.39,,,,,,,12.44,73.76,0.4,177.82,,0,47.08,,-0.01
18-01-2024,231.53,328.51,34.81,78.57,70.09,27.06,3.23,1.06,8.32,,,,,,,12.48,79.18,0.55,187.22,,0,43.67,,0
19-01-2024,228.43,305.58,32.35,72.19,63.98,29.52,4.04,2.76,11.97,,,,,,,12.34,79.78,0.48,177.85,,0,37.84,,0
20-01-2024,220.61,317.79,19.79,72.13,54.45,27.11,5.51,2.04,15.07,,,,,,,12.83,73.09,0.42,183.92,,0,39.11,,0
21-01-2024,211.18,279.54,23.33,63.79,52.9,25.8,6.34,1.36,9.03,,,,,,,11.56,83.82,0.69,188.46,,0,31.15,,0.01
22-01-2024,237.27,332.68,19.83,68.02,52.3,24.24,6.23,1.17,9.09,,,,,,,12.27,73.99,0.59,183.32,,0,44.06,,0
23-01-2024,271.02,379.35,18.89,75.47,55.5,26.63,6.92,1.31,9.72,,,,,,,12.7,78.65,0.68,167.16,,0,39.55,,0
24-01-2024,298.3,416.38,32.97,71.86,65.03,28.17,6.73,1.23,10.02,,,,,,,12.6,78.55,0.47,181.58,,0,34.5,,0
