Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2024,209.21,326.41,7.74,55.65,35.9,23.63,23.51,1.12,28.9,,,,,,,11.13,69.91,0.51,189.14,,0,42.63,991.85,1.08
02-01-2024,218.01,337.74,18.54,51.33,42.42,20.67,16.45,0.98,28.47,,,,,,,10.07,67.38,0.48,184.31,,0,52.61,991.89,1.74
03-01-2024,219.69,338.84,24,51.97,46.95,25.57,19.37,1.47,19.42,,,,,,,9.29,78,0.46,188.67,,0,35.56,993.01,1.9
04-01-2024,246.96,395.88,15.68,25.13,25.94,22.74,18.15,1.49,11.47,,,,,,,9.07,79.86,0.54,183.9,,0,17.79,992.29,1.88
05-01-2024,200.01,328.11,19.12,38.23,35.92,33.27,20.56,1.47,12.25,,,,,,,10.76,81.76,0.37,182.59,,0,14.99,992.58,1.55
06-01-2024,190.65,301.28,9.14,19.72,17.24,18.85,19.05,1.34,15.63,,,,,,,10.59,73.71,0.39,184.75,,0,32.56,992.05,0.79
07-01-2024,180.81,282.06,7.09,5.66,8.8,7.34,15.96,1.28,38.13,,,,,,,10.75,70.31,0.42,180.65,,0,51.14,992.03,0.12
08-01-2024,279.07,447.74,20.67,27.35,30.31,14.01,28.39,1.6,15.51,,,,,,,9.64,78.27,0.38,179.46,,0,29.28,993.86,0.71
09-01-2024,163.57,263.17,7.05,21.91,17.39,21.61,10.55,1.24,17.37,0.22,0.89,,,,,9.46,80.17,0.62,183.95,,0,19.74,897.2,0.93
10-01-2024,177.22,276.86,11.64,35.2,28.18,32.91,18.99,1.28,23.54,0.16,0.8,,,,,8.76,74.6,0.78,182.15,,0,49.53,744.01,1.52
