Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2022 00:00,257.78,392.5,113.62,32.22,145.65,117.29,6.95,2.05,16.94,1.42,9.73,NA,NA,NA,NA,11.74,77.89,0.65,238.83,0,0,107.99,997.8,NA
02-01-2022 00:00,281.24,400.38,75.39,30.95,106.44,126.43,5.89,1.85,18.68,1.64,9.34,NA,NA,NA,NA,11.92,78.8,0.64,231.44,0,0,118.81,996.53,NA
03-01-2022 00:00,294.59,441.8,112.46,35.1,147.46,130.74,4.95,2.19,21.33,1.37,9.1,NA,NA,NA,NA,13.89,74.82,0.66,217.78,0,0,96.25,994.2,NA
04-01-2022 00:00,256.38,397.12,129.46,37.27,149.72,142.88,5.9,2.32,15.5,1.51,15.24,NA,NA,NA,NA,14.08,76.1,0.62,219.79,0,0,43.31,993.75,NA
05-01-2022 00:00,339.15,427.95,75.88,33.75,109.64,156.1,1.9,1.88,10.95,1.67,12.76,NA,NA,NA,NA,13.8,88.52,1.13,128.99,0.06,5.5,17.39,991.11,NA
06-01-2022 00:00,109.51,163.49,24.84,24.48,49.24,104.44,1.42,1,9.92,1.52,3.74,NA,NA,NA,NA,14.6,78.87,0.29,52.87,0.01,0.5,76.75,985.1,NA
07-01-2022 00:00,75.73,112.68,5.44,12.63,18.08,60.85,1.74,0.82,12.35,1.07,5.77,NA,NA,NA,NA,16.67,76.18,1.71,181.02,0,0,69.36,991.36,NA
08-01-2022 00:00,52.64,75.07,2.03,6.31,8.35,42.99,2.27,0.63,12.79,NA,NA,NA,NA,NA,NA,16.24,83.28,1.7,172.64,0.34,32.5,23.58,992.41,NA
09-01-2022 00:00,40.79,67.11,1.96,3.14,5.1,34.14,1.39,0.56,10.45,NA,NA,NA,NA,NA,NA,14.13,84.7,0.79,144.63,0.11,10.5,24.26,991.97,NA
10-01-2022 00:00,85.12,151.32,11.37,10.81,22.2,30.62,3.2,0.93,10.32,1.15,3.4,NA,NA,NA,NA,12.53,80.57,0.55,162.62,0,0,82.79,994.59,NA
11-01-2022 00:00,91.71,157.8,4.25,6.91,11.26,31.34,1.78,0.97,12.29,1.2,5.3,NA,NA,NA,NA,11.15,80.34,0.74,164.37,0,0,104.71,994.74,NA
12-01-2022 00:00,104.38,197.94,7.31,8.93,16.24,35.2,2.4,1.13,13.43,1.44,19.38,NA,NA,NA,NA,11.9,78.48,0.52,212.98,0,0,86.86,994.18,NA
13-01-2022 00:00,154.46,279.01,22.77,14.17,36.91,40.44,3.78,1.54,11.71,1.43,22.1,NA,NA,NA,NA,11.29,81.65,0.47,196.78,0,0,61.42,994.33,NA
14-01-2022 00:00,181.29,295.75,26.67,17.03,43.88,64.66,4.51,1.39,7.55,1.31,14.8,NA,NA,NA,NA,10,86.65,0.8,226.33,0,0,39.23,994.74,NA
15-01-2022 00:00,115.14,159.19,5.08,7.32,12.45,73.32,1.81,0.51,15.29,1,8.4,NA,NA,NA,NA,9.89,86.24,1.28,268.88,0,0,29.15,995.77,NA
16-01-2022 00:00,151.55,205.74,6.15,10.48,16.54,81.92,1.54,0.72,16.81,1.26,6.09,NA,NA,NA,NA,10.45,78.78,1.19,237.24,0,0,90.83,996.32,NA
17-01-2022 00:00,229.61,354.16,17.3,25.04,42.33,93.49,NA,1.13,11.77,1.19,10.51,NA,NA,NA,NA,11.06,79.61,1,221.81,0,0,70.43,996.83,NA
18-01-2022 00:00,199.29,278.73,7.52,12.77,20.27,86.12,NA,0.83,12.08,NA,NA,NA,NA,NA,NA,10.9,79.36,1.39,277.69,0,0,80,994.83,NA
19-01-2022 00:00,212.65,318.76,17.3,14.96,32.27,94.2,NA,1.12,17.26,1.53,8.18,NA,NA,NA,NA,11.94,79.6,1.18,264.7,0,0,80.33,992.02,NA
20-01-2022 00:00,323.12,470.33,46.67,27.76,74.45,120.55,NA,1.73,16.52,1.31,8.6,NA,NA,NA,NA,13.05,85.24,1.1,107.93,0,0,71.63,987.95,NA
21-01-2022 00:00,278.6,411.3,40.09,32.75,72.85,112.94,NA,1.97,24.28,1.43,10.68,NA,NA,NA,NA,13.24,83.79,0.95,173.26,0,0,71.87,987.97,NA
22-01-2022 00:00,156.06,191.74,7.48,19.53,26.92,97.45,NA,0.96,13.91,1.37,6.62,NA,NA,NA,NA,13.12,88.29,2.65,98.51,0.1,10,18.44,983.78,NA
23-01-2022 00:00,128.53,164.2,31.75,11.13,42.87,78.57,NA,0.99,18.43,1.28,7.58,NA,NA,NA,NA,12.43,88.7,1.56,193.23,0.02,1.5,38.18,986.04,NA
24-01-2022 00:00,138.38,209.16,56.17,16.78,73.85,66.92,3.59,1.38,10.34,1.13,9.98,NA,NA,NA,NA,11.55,84.05,0.9,259.67,0,0,56.39,990.1,NA
25-01-2022 00:00,125.98,214.35,53.48,18.24,71.93,48.78,2.9,1.31,7.94,1.24,10.14,NA,NA,NA,NA,9.8,88.99,1,252.58,0,0,31.35,990.99,NA
26-01-2022 00:00,145.15,220.71,26.42,16.09,42.5,60.37,3.78,1.04,12.45,1.15,7.8,NA,NA,NA,NA,11.58,84.67,1.26,261.66,0,0,92.01,991.77,NA
27-01-2022 00:00,122.82,176.25,11.24,20.44,31.66,56.41,5.92,0.79,19.78,NA,NA,NA,NA,NA,NA,12.93,76.78,1.56,260.27,0,0,123,992.84,NA
28-01-2022 00:00,113.76,186.06,27.25,20.02,47.19,52.71,6.57,0.89,28.26,1.26,7.96,NA,NA,NA,NA,13.44,65.7,1.52,257.89,0,0,155.26,992.68,NA
29-01-2022 00:00,137.44,233.29,53.86,26.68,80.5,65.6,4.72,1.13,23.09,1.3,6.7,NA,NA,NA,NA,13.72,69.98,0.97,230.12,0,0,163.02,992.8,NA
30-01-2022 00:00,157.25,224.23,10.79,21.2,32.01,73.98,9.67,0.76,31.91,NA,NA,NA,NA,NA,NA,15,68.44,1.33,243.59,0,0,160.06,988.28,NA
31-01-2022 00:00,258.94,380.73,70.43,33.73,104.17,93.15,5.5,1.69,23.75,1.34,8.55,NA,NA,NA,NA,13.44,80.71,1.22,104.68,0,0,123.58,987.99,NA
01-02-2022 00:00,252.75,325.67,62.46,17.21,79.65,95.63,5.11,1.68,35.37,1.64,13.09,NA,NA,NA,NA,12.95,85.17,1.1,256.39,0,0,105.57,987.65,NA
02-02-2022 00:00,181.06,266.11,4.12,21.72,25.82,79.68,5.23,0.82,38.14,NA,NA,NA,NA,NA,NA,15.42,73.45,1.63,181.33,0,0,132.74,987.29,NA
03-02-2022 00:00,162.03,203.61,5.44,17.07,22.49,73.69,3.99,0.8,20.57,1.25,5.8,NA,NA,NA,NA,12.76,79.7,3.24,116.2,0.02,2,21.58,983.49,NA
04-02-2022 00:00,80.39,120.78,26.31,12.25,38.58,54.14,3.23,0.74,22.64,1.6,10.01,NA,NA,NA,NA,13.25,79.37,1.64,269.7,0,0,88.07,985.51,NA
05-02-2022 00:00,152.08,234.48,82.98,22.92,90.47,58.74,3.35,1.78,19.87,1.37,10.36,NA,NA,NA,NA,11.92,81.82,0.77,250.98,0,0,126.71,989.94,NA
06-02-2022 00:00,237.97,385.55,143.7,30.03,173.69,69.06,4.64,2.74,25.03,1.4,16.73,NA,NA,NA,NA,14.52,72.3,0.75,216.54,0,0,156.8,991.84,NA
07-02-2022 00:00,177.32,345.42,81.66,35.91,117.56,76.66,4.15,1.98,27.81,1.34,12.45,NA,NA,NA,NA,17.72,67.59,0.89,172.28,0,0,141.87,990.91,NA
08-02-2022 00:00,228.57,446.23,118.11,39.57,157.59,100.25,5.8,2.43,28.36,1.26,14.4,NA,NA,NA,NA,18.27,73.55,0.82,163.15,0,0,110.1,989.38,NA
09-02-2022 00:00,104.94,180.08,22.26,18.92,41.19,72.54,4.36,0.86,25.53,1.19,7.4,NA,NA,NA,NA,16.78,72.12,1.69,116.29,0.05,4.5,122.67,991.37,NA
10-02-2022 00:00,88.28,192.35,28.44,19.74,47.29,59.59,4.14,0.85,22.02,1.51,8.88,NA,NA,NA,NA,15.95,72.01,1.5,249.69,0,0,159.15,993.66,NA
11-02-2022 00:00,79.72,154.05,10.41,16.49,26.85,50.32,8.68,0.59,32.43,NA,NA,NA,NA,NA,NA,15.89,62.29,1.63,267.81,0,0,173.47,992.04,NA
12-02-2022 00:00,106.56,215.55,55.36,24.43,79.74,53,6.51,0.98,26.74,NA,NA,NA,NA,NA,NA,16.02,63.47,1.33,240.3,0,0,180.79,990.71,NA
13-02-2022 00:00,151.89,319.77,138.16,33.21,171.03,60.87,5.2,2.13,26.62,1.23,10.74,NA,NA,NA,NA,17.11,66.16,0.67,190.31,0,0,170.76,989.62,NA
14-02-2022 00:00,142.2,322.44,152.2,31.87,183.93,66.31,3.57,2.17,26.96,1.11,11.5,NA,NA,NA,NA,18.28,63.52,0.93,201.21,0,0,172.59,989.5,NA
15-02-2022 00:00,134.03,341.44,191.1,33.47,210.28,67.79,4.78,2.5,25.83,1.24,12.75,NA,NA,NA,NA,18.54,63.48,0.83,174.39,0,0,164.09,989.5,NA
16-02-2022 00:00,161.69,336.02,110.24,28.49,138.56,85.23,6.3,1.73,26.68,1.27,14.29,NA,NA,NA,NA,17.89,68.13,1.03,262.6,0,0,158.5,987.5,NA
17-02-2022 00:00,127.67,275.51,78.68,28.29,107.07,87.52,5.97,1.39,27.05,1.37,7.93,NA,NA,NA,NA,18.61,65.34,0.97,251,0,0,167.99,987.28,NA
18-02-2022 00:00,129.59,282.98,67.06,25.22,92.38,82.62,4.54,1.24,23.26,1.22,12.37,NA,NA,NA,NA,19.08,63.64,1.22,242.88,0,0,165.54,988.67,NA
19-02-2022 00:00,99.46,192.51,19.55,19.51,38.86,73.45,7.75,0.68,27.12,NA,NA,NA,NA,NA,NA,18.53,63.06,1.69,269.75,0,0,168.43,989.95,NA
20-02-2022 00:00,82.4,157.03,2.67,13.74,16.43,58.14,7.94,0.51,39.15,NA,NA,NA,NA,NA,NA,19.51,57.96,1.76,262.57,0,0,212.79,984.45,NA
21-02-2022 00:00,93.25,263.51,67.95,25.73,88.91,57.07,6.52,1.31,29.95,1.06,14.28,NA,NA,NA,NA,18.88,55.07,1.37,220.47,0,0,181.76,984.58,NA
22-02-2022 00:00,107.51,313.34,44.85,27.14,71.82,81.29,7.98,1.05,45.54,1.11,12.85,NA,NA,NA,NA,20.74,50.98,3.4,98.56,0,0,166.28,986.41,NA
23-02-2022 00:00,127.71,239.65,32.62,24.25,56.84,73.73,5.09,1.11,31.6,1.4,8.7,NA,NA,NA,NA,19.78,65.43,2.34,123.74,0,0,118.56,990.24,NA
