datetime,station,year,month,day,dayofweek,pm2.5,pm10,no,no2,nox,nh3,so2,co,ozone
2019-01-01,Chandini_Chowk,2019,1,1,1,,,,,,,,,
2019-01-02,Chandini_Chowk,2019,1,2,2,,,,,,,,,
2019-01-03,Chandini_Chowk,2019,1,3,3,,,,,,,,,
2019-01-04,Chandini_Chowk,2019,1,4,4,,,,,,,,,
2019-01-05,Chandini_Chowk,2019,1,5,5,,,,,,,,,
2019-01-06,Chandini_Chowk,2019,1,6,6,,,,,,,,,
2019-01-07,Chandini_Chowk,2019,1,7,0,,,,,,,,,
2019-01-08,Chandini_Chowk,2019,1,8,1,,,,,,,,,
2019-01-09,Chandini_Chowk,2019,1,9,2,,,,,,,,,
2019-01-10,Chandini_Chowk,2019,1,10,3,,,,,,,,,
2019-01-11,Chandini_Chowk,2019,1,11,4,,,,,,,,,
2019-01-12,Chandini_Chowk,2019,1,12,5,,,,,,,,,
2019-01-13,Chandini_Chowk,2019,1,13,6,,,,,,,,,
2019-01-14,Chandini_Chowk,2019,1,14,0,,,,,,,,,
2019-01-15,Chandini_Chowk,2019,1,15,1,,,,,,,,,
2019-01-16,Chandini_Chowk,2019,1,16,2,,,,,,,,,
2019-01-17,Chandini_Chowk,2019,1,17,3,,,,,,,,,
2019-01-18,Chandini_Chowk,2019,1,18,4,,,,,,,,,
2019-01-19,Chandini_Chowk,2019,1,19,5,,,,,,,,,
2019-01-20,Chandini_Chowk,2019,1,20,6,,,,,,,,,
2019-01-21,Chandini_Chowk,2019,1,21,0,,,,,,,,,
2019-01-22,Chandini_Chowk,2019,1,22,1,,,,,,,,,
2019-01-23,Chandini_Chowk,2019,1,23,2,,,,,,,,,
2019-01-24,Chandini_Chowk,2019,1,24,3,,,,,,,,,
2019-01-25,Chandini_Chowk,2019,1,25,4,,,,,,,,,
2019-01-26,Chandini_Chowk,2019,1,26,5,,,,,,,,,
2019-01-27,Chandini_Chowk,2019,1,27,6,,,,,,,,,
2019-01-28,Chandini_Chowk,2019,1,28,0,,,,,,,,,
2019-01-29,Chandini_Chowk,2019,1,29,1,,,,,,,,,
2019-01-30,Chandini_Chowk,2019,1,30,2,,,,,,,,,
2019-01-31,Chandini_Chowk,2019,1,31,3,,,,,,,,,
2019-02-01,Chandini_Chowk,2019,2,1,4,,,,,,,,,
2019-02-02,Chandini_Chowk,2019,2,2,5,,,,,,,,,
2019-02-03,Chandini_Chowk,2019,2,3,6,,,,,,,,,
2019-02-04,Chandini_Chowk,2019,2,4,0,,,,,,,,,
2019-02-05,Chandini_Chowk,2019,2,5,1,,,,,,,,,
2019-02-06,Chandini_Chowk,2019,2,6,2,,,,,,,,,
2019-02-07,Chandini_Chowk,2019,2,7,3,,,,,,,,,
2019-02-08,Chandini_Chowk,2019,2,8,4,,,,,,,,,
2019-02-09,Chandini_Chowk,2019,2,9,5,,,,,,,,,
2019-02-10,Chandini_Chowk,2019,2,10,6,,,,,,,,,
2019-02-11,Chandini_Chowk,2019,2,11,0,,,,,,,,,
2019-02-12,Chandini_Chowk,2019,2,12,1,,,,,,,,,
2019-02-13,Chandini_Chowk,2019,2,13,2,,,,,,,,,
2019-02-14,Chandini_Chowk,2019,2,14,3,,,,,,,,,
2019-02-15,Chandini_Chowk,2019,2,15,4,,,,,,,,,
2019-02-16,Chandini_Chowk,2019,2,16,5,,,,,,,,,
2019-02-17,Chandini_Chowk,2019,2,17,6,,,,,,,,,
2019-02-18,Chandini_Chowk,2019,2,18,0,,,,,,,,,
2019-02-19,Chandini_Chowk,2019,2,19,1,,,,,,,,,
